LOOPID,HHMMSS,YYYYMMDD,has_data,scan_count,flag,volume
1,40000,20111025,1,61,0,2
1,40020,20111025,1,0,0,0
1,40040,20111025,1,39,0,3
1,40100,20111025,1,0,0,0
1,40120,20111025,1,18,0,1
1,40140,20111025,1,0,0,0
1,40200,20111025,1,15,0,1
1,40220,20111025,1,63,0,1
1,40240,20111025,1,51,0,2
1,40300,20111025,1,66,0,2
1,40320,20111025,1,149,0,5
1,40340,20111025,1,0,0,0
1,40400,20111025,1,0,0,0
1,40420,20111025,1,87,0,5
1,40440,20111025,1,21,0,1
1,40500,20111025,1,60,0,2
1,40520,20111025,1,38,0,1
1,40540,20111025,1,97,0,2
1,40600,20111025,1,57,0,1
1,40620,20111025,1,12,0,1
1,40640,20111025,1,69,0,4
1,40700,20111025,1,78,0,3
1,40720,20111025,1,57,0,1
1,40740,20111025,1,99,0,4
1,40800,20111025,1,96,0,2
1,40820,20111025,1,12,0,1
1,40840,20111025,1,54,0,1
1,40900,20111025,1,135,0,4
1,40920,20111025,1,54,0,2
1,40940,20111025,1,36,0,2
1,41000,20111025,1,123,0,2
1,41020,20111025,1,108,0,2
1,41040,20111025,1,0,0,0
1,41100,20111025,1,33,0,3
